,id,name,shortName,tla,crestUrl,address,phone,website,email,founded,clubColors,venue,lastUpdated,area_id,area_name
16,74,West Bromwich Albion FC,West Brom,WBA,https://crests.football-data.org/74.svg,The Hawthorns West Bromwich B71 4LF,,http://www.wba.co.uk,enquiries@wbafc.co.uk,1879.0,White / Navy Blue,The Hawthorns,2021-04-12T12:58:05Z,2072,England
17,75,Wigan Athletic FC,Wigan Athletic,,https://crests.football-data.org/75.svg,Loire Drive Wigan WN5 0UZ,+44 (01942) 774000,http://www.wiganlatics.co.uk,feedback@wiganathletic.com,1932.0,Blue / White,The DW Stadium,2021-04-13T11:16:13Z,2072,England
18,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.svg,Waterloo Road Wolverhampton WV1 4QR,+44 (0871) 2222220,http://www.wolves.co.uk,info@wolves.co.uk,1877.0,Black / Gold,Molineux Stadium,2021-04-09T02:25:24Z,2072,England
19,322,Hull City AFC,Hull City,HUL,https://crests.football-data.org/322.svg,Walton Street Hull HU3 6HU,+44 (0870) 8370003,http://www.hullcitytigers.com,info@hulltigers.com,1904.0,Orange / Black,Kingston Communications Stadium,2020-11-12T02:13:08Z,2072,England
20,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.svg,Harry Potts Way Burnley BB10 4BX,+44 (0871) 2211882,http://www.burnleyfootballclub.com,info@burnleyfc.com,1881.0,Claret / Sky Blue,Turf Moor,2020-11-26T02:14:29Z,2072,England
21,332,Birmingham City FC,Birmingham,BIR,https://crests.football-data.org/332.svg,St. Andrew's Stadium Birmingham B9 4RL,+44 (0844) 5571875,http://www.bcfc.com,reception@bcfc.com,1875.0,Blue / White,St Andrew's Trillion Trophy Stadium,2021-03-02T08:06:34Z,2072,England
22,336,Blackpool FC,Blackpool,,https://crests.football-data.org/336.svg,"Bloomfield Road, Seasiders Way Blackpool FY1 6JJ",+44 (0125) 3685000,http://www.blackpoolfc.co.uk,info@blackpoolfc.co.uk,1887.0,Orange / White,Bloomfield Road,2021-04-13T11:17:37Z,2072,England
23,338,Leicester City FC,Leicester City,LEI,https://crests.football-data.org/338.svg,"The Walkers Stadium, Filbert Way Leicester LE2 7FL",+44 (0844) 8156000,http://www.lcfc.com,,1884.0,Royal Blue / White,King Power Stadium,2020-11-26T02:14:30Z,2072,England
24,340,Southampton FC,Southampton,SOU,https://crests.football-data.org/340.svg,Britannia Road Southampton SO14 5FP,,http://www.saintsfc.co.uk,sfc@saintsfc.co.uk,1885.0,Red / White / Black,St. Mary's Stadium,2021-04-12T13:03:01Z,2072,England
25,341,Leeds United FC,Leeds United,LEE,https://crests.football-data.org/341.svg,Elland Road Leeds LS11 0ES,+44 (0871) 3341919,http://www.leedsunited.com,reception@leedsunited.com,1904.0,White / Blue,Elland Road,2021-04-10T13:38:41Z,2072,England
26,342,Derby County FC,Derby County,DER,https://crests.football-data.org/342.svg,Pride Park Derby DE24 8XL,+44 (0871) 4721884,http://www.dcfc.co.uk,derbycounty@dcfc.co.uk,1884.0,White / Black,iPro Stadium,2020-11-26T02:16:43Z,2072,England
27,343,Middlesbrough FC,Middlesbrough,MID,https://crests.football-data.org/343.svg,Riverside Stadium Middlesbrough TS3 6RS,+44 (0844) 4996789,http://www.mfc.co.uk,enquiries@mfc.co.uk,1876.0,Red / White,Riverside Stadium,2020-11-26T02:16:45Z,2072,England
28,345,Sheffield Wednesday FC,Sheffield Wed,,https://crests.football-data.org/345.svg,"Hillsborough Sheffield, Yorkshire S6 1SW",+44 (0871) 9951867,http://www.swfc.co.uk,enquiries@swfc.co.uk,1820.0,Blue / White / Black,Hillsborough Stadium,2021-04-13T10:12:12Z,2072,England
29,346,Watford FC,Watford,WAT,https://crests.football-data.org/346.svg,Vicarage Road Watford WD18 0ER,,http://www.watfordfc.com,yourvoice@watfordfc.com,1881.0,Yellow / Black,Vicarage Road Stadium,2020-11-26T02:16:48Z,2072,England
30,348,Charlton Athletic FC,Charlton,,https://crests.football-data.org/348.svg,"Floyd Road, Charlton London SE7 8BL",+44 (0208) 3334000,http://www.cafc.co.uk,info@cafc.co.uk,1905.0,Red / White,The Valley,2021-04-13T11:18:11Z,2072,England
31,349,Ipswich Town FC,Ipswich Town,,https://crests.football-data.org/349.svg,Portman Road Ipswich IP1 2DA,,http://www.itfc.co.uk,enquiries@itfc.co.uk,1887.0,Blue / White,Portman Road Stadium,2021-04-13T10:24:38Z,2072,England
32,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.svg,"Pavilion Road, West Bridgeford Nottingham NG2 5GJ",+44 (0115) 9824444,http://www.nottinghamforest.co.uk,enquiries@nottinghamforest.co.uk,1865.0,Red / White,The City Ground,2020-11-26T02:16:50Z,2072,England
33,354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.svg,Whitehorse Lane London SE25 6PU,+44 (020) 87686000,http://www.cpfc.co.uk,info@cpfc.co.uk,1905.0,Red / Blue,Selhurst Park,2020-11-26T02:14:34Z,2072,England
34,355,Reading FC,Reading,REA,https://crests.football-data.org/355.svg,Junction 11 M4 Reading RG2 0FL,+44 (0118) 9681211,http://www.readingfc.co.uk,customerservice@readingfc.co.uk,1871.0,Blue / White,Madejski Stadium,2021-04-09T08:40:35Z,2072,England
35,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.svg,"Bramall Lane Sheffield, Yorkshire S2 4SU",+44 (0871) 9951899,http://www.sufc.co.uk,info@sufc.co.uk,,Red / White / Black,Bramall Lane,2020-11-26T02:14:35Z,2072,England
36,357,Barnsley FC,Barnsley,BAR,https://crests.football-data.org/357.svg,Grove Street Barnsley S71 1ET,+44 (0122) 6211211,http://www.barnsleyfc.co.uk,thereds@barnsleyfc.co.uk,1887.0,Red / White,Oakwell Stadium,2020-09-10T02:39:00Z,2072,England
37,384,Millwall FC,Millwall,,https://crests.football-data.org/384.svg,Zampa Road London SE16 3LN,+44 (0207) 2321222,http://www.millwallfc.co.uk,questions@millwallplc.com,1885.0,Blue / White,The Den,2021-04-10T13:41:04Z,2072,England
38,385,Rotherham United FC,Rotherham Utd,ROT,https://crests.football-data.org/385.svg,New York Way Rotherham S60 1AH,+44 (08444) 140733,http://www.themillers.co.uk,office@rotherhamunited.net,1870.0,Red / White,New York Stadium,2021-04-15T07:14:27Z,2072,England
39,387,Bristol City FC,Bristol City,BRI,https://crests.football-data.org/387.svg,Ashton Gate Bristol BS3 2EJ,+44 (0117) 9630600,http://www.bcfc.co.uk,enquiries@bcfc.co.uk,1894.0,Red / White,Ashton Gate Stadium,2020-09-10T02:39:13Z,2072,England
40,389,Luton Town FC,Luton Town,LUT,https://crests.football-data.org/389.svg,1 Maple Road Luton LU4 8AW,+44 (01582) 411622,http://www.lutontown.co.uk,,1885.0,White / Navy Blue / Orange,Kenilworth Road Stadium,2020-09-10T02:39:14Z,2072,England
41,394,Huddersfield Town AFC,Huddersfield,HUD,https://crests.football-data.org/394.svg,Stadium Way Huddersfield HD1 6PX,+44 (0148) 4484112,http://www.htafc.com,info@htafc.com,1908.0,Blue / White,The John Smith's Stadium,2021-04-13T10:14:58Z,2072,England
42,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,44 North Road Brighton & Hove BN1 1YR,+44 (01273) 878288,http://www.seagulls.co.uk,seagulls@bhafc.co.uk,1898.0,Blue / White,The American Express Community Stadium,2021-04-12T13:10:44Z,2072,England
43,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.svg,Braemar Road Brentford TW8 0NT,,http://www.brentfordfc.co.uk,enquiries@brentfordfc.co.uk,1889.0,Red / White / Black,Griffin Park,2020-09-10T02:53:44Z,2072,England
44,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.svg,"Queen Elizabeth Olympic Park, London London E20 2ST",+44 (020) 85482794,http://www.whufc.com,yourcomments@westhamunited.co.uk,1895.0,Claret / Sky Blue,London Stadium,2021-01-22T16:56:20Z,2072,England
45,770,England,England,ENG,https://crests.football-data.org/770.svg,"Wembley Stadium, PO Box 1966 London SW1P 9EQ",+44 (844) 9808200,http://www.thefa.com,info@thefa.com,1863.0,White / Red / Navy Blue,Wembley Stadium,2021-05-26T09:47:50Z,2072,England
46,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/1044.svg,"Dean Court, Kings Park Bournemouth BH7 7AF",+44 (01202) 726300,http://www.afcb.co.uk,admin@afcb.co.uk,1890.0,Red / Black,Vitality Stadium,2021-04-13T10:09:48Z,2072,England
47,1072,Burton Albion FC,Burton Albion,,https://crests.football-data.org/1072.svg,Princess Way Burton-on-Trent DE13 0AR,+44 (0128) 3565938,http://www.burtonalbionfc.co.uk,office@burtonalbionfc.co.uk,1950.0,Yellow / Black,Pirelli Stadium,2021-04-13T11:25:43Z,2072,England
48,1076,Coventry City FC,Coventry City,COV,https://crests.football-data.org/1076.svg,"Gallagher Retail Park, Stoney Stanton Road Coventry CV6 5QE",+44 (0247) 6992326,http://www.ccfc.co.uk,info@ccfc.co.uk,1883.0,Sky Blue / White,St Andrew's Trillion Trophy Stadium,2021-04-15T07:16:19Z,2072,England
49,1077,Peterborough United FC,Peterborough,,https://crests.football-data.org/1077.svg,London Road Peterborough PE2 8AL,+44 (0173) 3563947,http://www.theposh.com,info@theposh.com,1934.0,Blue / White,Weston Homes Stadium,2021-04-13T11:24:32Z,2072,England
50,1081,Preston North End FC,Preston NE,PNE,https://crests.football-data.org/1081.svg,Sir Tom Finney Way Preston PR1 6RU,,http://www.pnefc.net,enquiries@pne.com,1863.0,White / Navy Blue,Deepdale Stadium,2020-09-10T02:39:51Z,2072,England
51,1146,Wycombe Wanderers FC,Wycombe,WYC,https://crests.football-data.org/1146.svg,Hillbottom Road High Wycombe HP12 4HJ,+44 (1494) 472100,http://www.wycombewanderers.co.uk,wwfc@wwfc.com,1887.0,Blue,Adams Park,2020-09-10T02:54:06Z,2072,England
